"id","nombre_urg","num","claves_presupuestales","objeto_contratacion_proyectado","tipo_de_contratacion","partida_presupuestal_especifica","clave_cabms","valor_estimado_contratacion","contratacion_a_mipymes","procedimiento_contratacion_proyectado","fecha_estimada_procedimiento_contratacion","fecha_estimada_inicio_vigencia_contrato","fecha_estimada_fin_contrato","etiqueta_procedimiento"
114234,"INSTITUTO DE VERIFICACIÓN ADMINISTRATIVA","CDMX13PDVAPAAAPS29","113PDVA181096G01115O22021111100000000000","ADQUSICIÓN DE PAPELERÍA","BIEN",2111,"2111000438--SEPARADORES DE PLÁSTICO O CARTULINA;2111000438--SEPARADORES DE PLÁSTICO O CARTULINA;2111000438--SEPARADORES DE PLÁSTICO O CARTULINA;2111000440--SERVILLETAS DE PAPEL;2111000456--TABLA REGISTRO CON CLIP SUJETADOR;2111000470--TIJERAS;2111000490--VASOS, PLATOS, CUBIERTOS DESECHABLES;2111000490--VASOS, PLATOS, CUBIERTOS DESECHABLES;2111000490--VASOS, PLATOS, CUBIERTOS DESECHABLES;2111000474--TINTA PARA COJIN;2111000038--BOLÍGRAFOS O PLUMAS;2111000038--BOLÍGRAFOS O PLUMAS;2111000038--BOLÍGRAFOS O PLUMAS;2111000050--BROCHES PARA FOLDER;2111000052--CAJAS DE CARTÓN (CORRUGADO,LISO Y PLEGADIZO);2111000052--CAJAS DE CARTÓN (CORRUGADO,LISO Y PLEGADIZO);2111000064--CARPETAS PARA ARCHIVO;2111000064--CARPETAS PARA ARCHIVO;2111000500--CINTA CANELA;2111000072--CINTA ADHESIVA (DIUREX);2111000074--CINTA ADHESIVA (GRIS);2111000652--SUJETA DOCUMENTOS;2111000652--SUJETA DOCUMENTOS;2111000084--CLIPS;2111000084--CLIPS;2111000084--CLIPS;2111000220--LÍQUIDO CORRECTOR;2111000220--LÍQUIDO CORRECTOR;2111000102--CRAYONES O CRAYOLAS;2111000110--CUTTER;2111000112--DEDAL HULE;2111000116--DESPACHADOR INTEGRADOR CINTA ADHESIVA;2111000072--CINTA ADHESIVA (DIUREX);2111000124--ENGARGOLADORA;2111000128--ENGRAPADORA;2111000160--FOLDERS;2111000160--FOLDERS;2111000162--FOLIADORES;2111000170--GOMAS DE BORRAR;2111000176--GRAPA;2111000176--GRAPA;2111000644--GUILLOTINA BASE DE MADERA TAMAÑO OFICIO;2111000230--MECAHILO O MECATE;2111000204--LÁPICES  ADHESIVOS;2111000210--LIBRETAS;2111000214--LIBRO DE CONTABILIDAD O REGISTRO;2111000216--LIGA;2111000226--MARCADORES;2111000378--PLUMONES;2111000226--MARCADORES;2111000226--MARCADORES;2111000228--MASKING TAPE;2111000406--PUNTILLA LÁPICES (PORTAMINAS);2111000508--PAPEL CARBÓN CARTA;2111000508--PAPEL CARBÓN CARTA;2111000362--PEGAMENTO LÍQUIDO;2111000386--PORTA LÁPICES;2111000498--BLOCK DE NOTAS ADHERIBLES;2111000510--PROTECTOR DE HOJAS PLASTIFICADO;2111000114--DESENGRAPADORA;2111000412--REGLA (MADERA, METAL, PLÁSTICO);2111000424--SACAPUNTA ESCOLAR;2111000438--SEPARADORES DE PLÁSTICO O CARTULINA","$500,000.00","SI","INVITACIÓN RESTRINGIDA A CUANDO MENOS TRES PROVEEDORES POR MONTO. (ARTÍCULO 55).","01-02-2022","01-03-2022","31-12-2022","PROYECTO"
116222,"SECRETARÍA DE TRABAJO Y FOMENTO AL EMPLEO","CDMX33C001PAAAPS69","133C001393001O00111112025411100","ADQUISICIÓN DE MATERIALES, ACCESORIOS Y SUMINISTROS MÉDICOS PARA LA PROVISIÓN DE LOS BOTIQUINES DE PRIMEROS AUXILIOS.","BIEN",2541,"2541000120--BANDA ADHESIVA","$20,000.00","SI","ADJUDICACIÓN DIRECTA POR MONTO  (ARTÍCULO 55).","01-04-2022","15-04-2022","15-04-2022","PROYECTO"
116909,"SECRETARÍA DE TRABAJO Y FOMENTO AL EMPLEO","CDMX33C001PAAAPS100","133C001393001O00111112031411279; 133C001393001O00111112031711279","CONTRATACIÓN CONSOLIDADA DE LOS SERVICIOS DE TELEFONÍA E INTERNET PARA EL PERIODO DEL 2021-2022 (CLUSTER 2))","SERVICIO","3141;3171","3141000008--SERVICIO TELEFÓNICO LOCAL;3171000004--SERVICIO DE INTERNET","$15,667.80","NO","LICITACIÓN PÚBLICA NACIONAL (ART.30)","01-01-2022","01-01-2022","31-12-2022","PROYECTO CONSOLIDADO PAAAPS"
116227,"SECRETARÍA DE INCLUSIÓN Y BIENESTAR SOCIAL","CDMX08C001PAAAPS2","108C001269105E08111112022111100","SUMINISTRO DE GARRAFONES DE 20 LITROS DE AGUA PARA EL CONSUMO DEL PERSONAL DE LA SECRETARÍA DE INCLUSIÓN Y BIENESTAR SOCIAL","BIEN",2211,"2211000020--AGUA PURIFICADA","$100,000.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","30-12-2021","01-01-2022","31-12-2022","PROYECTO"
115565,"INSTITUTO DE PLANEACIÓN DEMOCRÁTICA Y PROSPECTIVA DE LA CIUDAD DE MÉXICO","CDMX41PDIPPAAAPS12","141PDIP134001O00115O22036511100","CONTRATACIÓN DE SERVICIO DE VIDEOGRABACIÓN","SERVICIO",3651,"3651000004--SERVICIOS DE AUDIO","$250,000.00","NO","LICITACIÓN PÚBLICA NACIONAL (ART.30)","15-06-2022","15-07-2022","31-12-2022","PROYECTO"
115189,"INSTITUTO DE LAS PERSONAS CON DISCAPACIDAD","CDMX08PDIIPAAAPS37","108PDII261008S06415O22033911100","SERVICIO PROFESIONAL POR EL DÍA INTERNACIONAL DE LA MUJER","SERVICIO",3391,"3391000004--SERVICIOS PROFESIONALES, CIENTIFICOS Y TÉCNICOS INTEGRALES","$80,000.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","02-02-2022","22-02-2022","09-03-2022","PROYECTO"
115385,"INSTITUTO DE LAS PERSONAS CON DISCAPACIDAD","CDMX08PDIIPAAAPS40","108PDII261008S06415O22033911100","SERVICIO PROFESIONAL SOBRE SISTEMA DE APOYOS PARA PERSONAS CON DISCAPACIDAD","SERVICIO",3391,"3391000004--SERVICIOS PROFESIONALES, CIENTIFICOS Y TÉCNICOS INTEGRALES","$100,000.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","13-04-2022","01-06-2022","30-06-2022","PROYECTO"
116231,"INSTITUTO DE LAS PERSONAS CON DISCAPACIDAD","CDMX08PDIIPAAAPS72","108PDII172002N00115O22025411200","COMPRA DE MATERIAL ANTI COVID PARA PROTECCION DE LAS PERSONAS QUE LABORAN EN ESTE INSTITUTO","SERVICIO",2541,"2541000356--CUBREBOCA","$9,425.00","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","12-01-2022","01-03-2022","31-03-2022","PROYECTO"
115814,"INSTITUTO DE LAS PERSONAS CON DISCAPACIDAD","CDMX08PDIIPAAAPS53","108PDII261008S06415O22033911100","SERVICIOS PROFESIONALES DEL PERSONAL ADMINISTRATIVO DE ESTE INSTITUTO","SERVICIO",3391,"3391000004--SERVICIOS PROFESIONALES, CIENTIFICOS Y TÉCNICOS INTEGRALES","$170,716.92","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","30-12-2021","01-01-2022","31-12-2022","PROYECTO"
115817,"INSTITUTO DE LAS PERSONAS CON DISCAPACIDAD","CDMX08PDIIPAAAPS54","108PDII134001O00115O22033911100","SERVICIOS PROFESIONALES DEL PERSONAL ADMINISTRATIVO DE ESTE INSTITUTO","SERVICIO",3391,"3391000004--SERVICIOS PROFESIONALES, CIENTIFICOS Y TÉCNICOS INTEGRALES","$170,716.92","NO","ADJUDICACIÓN DIRECTA POR EXCEPCIÓN (ARTÍCULO 54).","30-12-2021","01-01-2022","31-12-2022","PROYECTO"
